"","id","name"
"1","1","In bin - combination high temperature and air"
"2","2","In bin - natural air/air only"
"3","3","In bin - low temperature"
"4","4","In bin - high temperature-air recirculation - continuous flow/mixed flow"
"5","5","In bin - high temperature layered batch-in-bin or bin with stirring device"
"6","6","Batch Dryer - high temperature-no air recirculation (Continuous flow dryer)"
"7","7","Batch Dryer - high temperature-no air recirculation (Automatic batch dryer)"
"8","8","Batch Dryer PTO type - high temperature-no air recirculation"
"9","9","No Drying System Used"
"10","10","Commercially dried by buyer"
