delete,test,payload_parameter,reference_table,type
0,1,application_method_id,ref_data_DominantApplicationMethods,common
1,1,drying_systems_id,ref_data_DryingSystems,common
2,1,drying_energy_source_id,ref_data_EnergySources,common
3,0,drying_fuel_id,ref_data_FuelTypes,common
4,0,trans_fuel_type_id,ref_data_FuelTypes,common
5,1,integrated_pest_management_id,ref_data_IntegratedPestManagement,common
6,0,application_rate_id,ref_data_NutrientApplicationRates,common
7,1,seeding_rate_id,ref_data_SeedingRates_temp,common
8,1,soil_condition_id,ref_data_SoilConditions,common
9,1,tile_drainage_id,ref_data_TileDrainage,common
11,0,water_source_id,ref_data_WaterSources,irrigation
12,0,energy_source_id,ref_data_EnergySources,irrigation
13,0,secondary_energy_source_id,ref_data_EnergySources,irrigation
14,0,irrigation_fuel_id,ref_data_FuelTypes,irrigation
15,0,secondary_irrigation_fuel_id,ref_data_FuelTypes,irrigation
16,1,irrigation_method_id,ref_data_IrrigationMethods,irrigation
17,1,pumping_depth_id,ref_data_PumpingDepths,irrigation
18,1,pump_pressure_id,ref_data_PumpPressures,irrigation
19,1,manure_amount_id,ref_data_ManureAmounts,manure
20,0,manure_type_id,ref_data_ManureTypes,manure
